27	Gulen	1		382394320.814963	424886
27	Gulen	2		45793431.254274	50882
27	Gulen	3		26040390.313086	28934
27	Gulen	4		21972423.069867	24414
27	Gulen	5		18437251.536380	20486
27	Gulen	6		18686549.528940	20763
27	Gulen	7		14554682.800268	16172
27	Gulen	8		12554898.903273	13950
27	Gulen	9		14003887.235479	15560
27	Gulen	10		20263336.832063	22515
28	Farsund	1		211414597.609939	234907
28	Farsund	2		8566131.022320	9518
28	Farsund	3		3104075.004831	3449
28	Farsund	4		1227590.114987	1364
28	Farsund	5		540895.644507	601
28	Farsund	6		445496.412697	495
28	Farsund	7		425696.572133	473
28	Farsund	8		306897.528747	341
28	Farsund	9		120599.028892	134
28	Farsund	10		358197.115663	398
29	Arendal	1		228275961.835701	253642
30	Gaular	1		338153377.060183	375729
30	Gaular	2		51256387.264527	56952
30	Gaular	3		28461370.818453	31624
30	Gaular	4		21598026.084651	23998
30	Gaular	5		19273344.803846	21415
30	Gaular	6		20446035.360907	22718
30	Gaular	7		14692381.691465	16325
30	Gaular	8		10691013.911970	11879
30	Gaular	9		11573006.809835	12859
30	Gaular	10		14673481.843653	16304
31	Odda	1		1090583318.205006	1211769
31	Odda	2		93478647.275229	103866
31	Odda	3		44263443.574303	49182
31	Odda	4		30990350.454171	34434
31	Odda	5		23195513.221092	25773
31	Odda	6		24928899.263224	27699
31	Odda	7		14140686.133923	15712
31	Odda	8		11083410.752245	12315
31	Odda	9		12816796.794374	14241
31	Odda	10		20128337.919125	22365
32	Vestre Toten	1		166976555.442271	185531
32	Vestre Toten	2		18899.847811	21
33	Hå	1		118773843.588927	131972
33	Hå	2		23363811.865889	25960
33	Hå	3		10797213.056815	11997
33	Hå	4		6696846.074499	7441
33	Hå	5		3296673.453957	3663
33	Hå	6		1955684.252102	2173
33	Hå	7		1513787.810416	1682
33	Hå	8		617395.028505	686
33	Hå	9		343797.231617	382
33	Hå	10		711894.267562	791
34	Agdenes	1		180272148.381006	200304
34	Agdenes	2		43787347.408006	48653
34	Agdenes	3		18068254.507680	20076
34	Agdenes	4		8726329.732340	9696
34	Agdenes	5		6534847.378973	7261
34	Agdenes	6		6185650.190839	6873
34	Agdenes	7		5486355.821818	6096
34	Agdenes	8		4818561.199150	5354
34	Agdenes	9		4648462.568847	5165
34	Agdenes	10		3158974.562760	3510
35	Ski	1		117794651.473745	130884
36	Selbu	1		634772988.564149	705309
36	Selbu	2		140424069.253178	156028
36	Selbu	3		74567999.550779	82854
36	Selbu	4		49467201.671713	54964
36	Selbu	5		38682588.513418	42981
36	Selbu	6		42747855.778378	47498
36	Selbu	7		42422958.394572	47137
36	Selbu	8		37544997.673721	41717
36	Selbu	9		40938870.344999	45488
36	Selbu	10		20984231.027156	23316
37	Melhus	1		458806405.515252	509789
37	Melhus	2		36599105.290397	40666
37	Melhus	3		16275468.943856	18084
37	Melhus	4		11744905.425643	13050
37	Melhus	5		10469615.694751	11633
37	Melhus	6		12331700.700548	13702
37	Melhus	7		14965079.495600	16628
37	Melhus	8		12677297.917671	14086
37	Melhus	9		11040211.100104	12267
37	Melhus	10		8450931.949946	9390
38	Ørsta	1		537686270.344019	597434
38	Ørsta	2		46008529.522223	51121
38	Ørsta	3		21840124.135187	24267
38	Ørsta	4		12761897.236446	14180
38	Ørsta	5		9658722.224368	10732
38	Ørsta	6		9084526.848003	10094
38	Ørsta	7		5731153.850613	6368
38	Ørsta	8		3697170.229008	4108
38	Ørsta	9		3911368.504204	4346
38	Ørsta	10		3491971.881341	3880
39	Gratangen	1		152066375.504817	168964
39	Gratangen	2		34960218.487322	38845
39	Gratangen	3		18706349.369504	20785
39	Gratangen	4		9904420.245916	11005
39	Gratangen	5		7300741.211711	8112
39	Gratangen	6		10192417.926851	11325
39	Gratangen	7		7826336.979417	8696
39	Gratangen	8		8164734.254516	9072
39	Gratangen	9		10779213.201757	11977
39	Gratangen	10		10706313.788770	11896
40	Bodø	1		771849984.767066	857618
40	Bodø	2		167492251.289689	186104
40	Bodø	3		88215489.656127	98018
40	Bodø	4		43958346.031061	48843
40	Bodø	5		32772336.104962	36414
40	Bodø	6		39705880.273493	44118
40	Bodø	7		23926307.336466	26585
40	Bodø	8		17500359.080585	19445
40	Bodø	9		18864748.094019	20961
40	Bodø	10		12039203.055849	13377
41	Haugesund	1		11327308.788287	12586
41	Haugesund	2		14211785.561404	15791
41	Haugesund	3		11293109.063676	12548
41	Haugesund	4		7226041.813218	8029
41	Haugesund	5		3003275.816504	3337
41	Haugesund	6		2542479.527007	2825
41	Haugesund	7		3445172.258189	3828
41	Haugesund	8		2206782.230167	2452
41	Haugesund	9		1620886.948014	1801
41	Haugesund	10		1997983.911489	2220
42	Luster	1		1479544886.187282	1643952
42	Luster	2		133253826.990730	148061
42	Luster	3		67196158.911573	74663
42	Luster	4		46293827.224901	51438
42	Luster	5		40589673.156865	45100
42	Luster	6		43071853.169431	47858
42	Luster	7		24078406.111711	26754
42	Luster	8		17736157.181851	19707
42	Luster	9		18516450.898637	20574
42	Luster	10		37155300.811705	41284
43	Bindal	1		763203754.389863	848011
43	Bindal	2		173589702.190652	192879
43	Bindal	3		63352289.863833	70392
43	Bindal	4		27841275.811688	30935
43	Bindal	5		20075238.346702	22306
43	Bindal	6		20800632.505559	23112
43	Bindal	7		25006298.639976	27785
43	Bindal	8		22040822.519089	24490
43	Bindal	9		22275720.627603	24751
43	Bindal	10		18707249.362257	20786
44	Saltdal	1		1139021828.165773	1265590
44	Saltdal	2		293567736.081038	326189
44	Saltdal	3		165454667.697101	183840
44	Saltdal	4		90464571.545685	100517
44	Saltdal	5		76916080.643159	85463
44	Saltdal	6		85743209.563843	95271
44	Saltdal	7		58718227.179024	65243
44	Saltdal	8		52009681.198724	57789
44	Saltdal	9		63611487.776675	70680
44	Saltdal	10		41395166.670732	45995
45	Haram	1		173634701.828297	192929
45	Haram	2		20185037.462559	22428
45	Haram	3		9728921.659096	10810
45	Haram	4		6954244.001835	7727
45	Haram	5		5406256.466808	6007
45	Haram	6		5106558.880085	5674
45	Haram	7		3744869.844913	4161
45	Haram	8		3014975.722292	3350
45	Haram	9		2919576.490482	3244
45	Haram	10		2739577.939898	3044
46	Masfjorden	1		320530618.965459	356148
46	Masfjorden	2		58353730.114090	64838
46	Masfjorden	3		28255272.478034	31395
46	Masfjorden	4		20148137.759689	22387
46	Masfjorden	5		18757648.956421	20842
46	Masfjorden	6		21283028.621127	23648
46	Masfjorden	7		14050686.858631	15612
46	Masfjorden	8		11309308.933228	12566
46	Masfjorden	9		12454099.714946	13838
46	Masfjorden	10		11856504.527005	13174
47	Elverum	1		1158895468.138156	1287672
47	Elverum	2		6247749.690791	6942
47	Elverum	3		989992.028215	1100
47	Elverum	4		492296.035849	547
47	Elverum	5		123299.007150	137
47	Elverum	6		26099.789835	29
47	Elverum	7		3599.971012	4
47	Elverum	8		3599.971012	4
47	Elverum	9		3599.971012	4
48	Fitjar	1		84450819.970643	93835
48	Fitjar	2		8132334.515411	9036
48	Fitjar	3		5781553.444777	6424
48	Fitjar	4		5234357.851000	5816
48	Fitjar	5		4429764.329887	4922
48	Fitjar	6		4617862.815248	5131
48	Fitjar	7		5351356.908880	5946
48	Fitjar	8		4963460.032370	5515
48	Fitjar	9		4787061.452797	5319
48	Fitjar	10		1727986.085612	1920
49	Tjeldsund	1		187802387.744601	208671
49	Tjeldsund	2		52526277.038903	58363
49	Tjeldsund	3		20925731.498216	23251
49	Tjeldsund	4		9204225.884142	10227
49	Tjeldsund	5		6824645.045414	7583
49	Tjeldsund	6		7297141.240699	8108
49	Tjeldsund	7		5315357.198763	5906
49	Tjeldsund	8		4157066.525752	4619
49	Tjeldsund	9		4724961.952846	5250
49	Tjeldsund	10		2501079.860373	2779
50	Kvam	1		388535871.360819	431710
50	Kvam	2		57155839.759947	63507
50	Kvam	3		28904167.252892	32116
50	Kvam	4		18552450.608754	20614
50	Kvam	5		12625098.338001	14028
50	Kvam	6		12592698.598896	13992
50	Kvam	7		12646698.164071	14052
50	Kvam	8		10973611.636388	12193
50	Kvam	9		14382784.184459	15981
50	Kvam	10		28106773.673801	31230
51	Evenes	1		169838532.396524	188711
51	Evenes	2		25365395.748393	28184
51	Evenes	3		12155302.120976	13506
51	Evenes	4		6775145.444004	7528
51	Evenes	5		3412772.519084	3792
51	Evenes	6		3399272.627790	3777
51	Evenes	7		2038483.585370	2265
51	Evenes	8		2141082.759204	2379
51	Evenes	9		3357872.961156	3731
51	Evenes	10		3250773.823558	3612
52	Bamble	1		270595421.063019	300664
53	Fjaler	1		232763325.701709	258628
53	Fjaler	2		32966734.539594	36630
53	Fjaler	3		19885339.875835	22095
53	Fjaler	4		18463351.326214	20515
53	Fjaler	5		16786664.827516	18652
53	Fjaler	6		19393943.832738	21549
53	Fjaler	7		13961587.576091	15513
53	Fjaler	8		10679314.006182	11866
53	Fjaler	9		13531391.040194	15035
53	Fjaler	10		14573582.648079	16193
54	Frogn	1		66049568.144348	73389
55	Båtsfjord	1		703548634.755999	781727
55	Båtsfjord	2		180745544.569036	200830
55	Båtsfjord	3		65260274.500033	72512
55	Båtsfjord	4		28512670.405370	31681
55	Båtsfjord	5		23406111.525276	26007
55	Båtsfjord	6		22380119.786942	24867
55	Båtsfjord	7		16720065.363800	18578
55	Båtsfjord	8		14247785.271521	15831
55	Båtsfjord	9		14135286.177406	15706
55	Båtsfjord	10		5377456.698715	5975
56	Ulstein	1		41801963.395054	46447
56	Ulstein	2		10774713.237992	11972
56	Ulstein	3		5934552.212774	6594
56	Ulstein	4		5414356.401585	6016
56	Ulstein	5		4996759.764228	5552
56	Ulstein	6		5842752.951976	6492
56	Ulstein	7		4034667.511354	4483
56	Ulstein	8		3207574.171418	3564
56	Ulstein	9		3527071.598705	3919
56	Ulstein	10		3632370.750797	4036
57	Bykle	1		618283321.345338	686987
57	Bykle	2		243980835.373975	271092
57	Bykle	3		108557125.857728	120620
57	Bykle	4		65888469.441574	73210
57	Bykle	5		55093056.370244	61215
57	Bykle	6		56875042.021035	63195
57	Bykle	7		37598997.238896	41777
57	Bykle	8		36816903.536605	40908
57	Bykle	9		42654256.532074	47394
57	Bykle	10		38300991.586177	42557
58	Skånland	1		315337660.781170	350378
58	Skånland	2		36897002.891615	40997
58	Skånland	3		16239469.233739	18044
58	Skånland	4		8947727.949559	9942
58	Skånland	5		7892936.443134	8770
58	Skånland	6		9527323.282441	10586
58	Skånland	7		6286449.379167	6985
58	Skånland	8		4851860.931008	5391
58	Skånland	9		5329757.082810	5922
58	Skånland	10		6715745.922311	7462
59	Målselv	1		1787337907.759390	1985947
59	Målselv	2		387778977.455622	430869
59	Målselv	3		215513164.606689	239461
59	Målselv	4		130729347.318777	145256
59	Målselv	5		98133409.793355	109038
59	Målselv	6		92989051.217638	103322
59	Målselv	7		89785077.017227	99762
59	Målselv	8		83923424.217429	93249
59	Målselv	9		93922343.702421	104359
59	Målselv	10		47015621.412746	52240
60	Hamarøy	1		710258080.728941	789182
60	Hamarøy	2		84233921.717188	93594
60	Hamarøy	3		31842643.591191	35381
60	Hamarøy	4		17256461.044542	19174
60	Hamarøy	5		13830188.634165	15367
60	Hamarøy	6		13386492.206974	14874
60	Hamarøy	7		8744329.587399	9716
60	Hamarøy	8		6337748.966083	7042
