 ; ;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014;2014-2015;2015-2016;2016-2017
Lunner;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;..;0;..;0;0
Gran;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;0;..;..;..;0;0
Søndre Land;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;..;..;0;0
Nordre Land;;;;;;;;;;
 ;Willow Ptarmigan;350;150;200;250;..;..;150;..;..
Sør-Aurdal;;;;;;;;;;
 ;Willow Ptarmigan;350;300;300;300;200;250;350;150;250
Etnedal;;;;;;;;;;
 ;Willow Ptarmigan;100;..;..;..;..;..;..;..;..
Nord-Aurdal;;;;;;;;;;
 ;Willow Ptarmigan;350;150;250;150;100;100;200;150;100
Vestre Slidre;;;;;;;;;;
 ;Willow Ptarmigan;750;500;500;200;..;100;250;..;250
Øystre Slidre;;;;;;;;;;
 ;Willow Ptarmigan;1600;600;1000;1300;700;1050;1250;700;750
Vang;;;;;;;;;;
 ;Willow Ptarmigan;750;600;750;450;350;450;450;250;500
Unknown municipalities, Oppland;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ringerike (1964-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Drammen;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Kongsberg;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Ringerike;;;;;;;;;;
 ;Willow Ptarmigan;..;..;100;..;..;..;..;..;..
Hole;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;100;0;..
Flå;;;;;;;;;;
 ;Willow Ptarmigan;550;450;600;450;250;300;350;300;350
Nes (Busk.);;;;;;;;;;
 ;Willow Ptarmigan;550;350;450;350;200;300;350;200;350
Gol;;;;;;;;;;
 ;Willow Ptarmigan;300;200;300;150;..;100;200;..;200
Hemsedal;;;;;;;;;;
 ;Willow Ptarmigan;550;750;600;600;250;350;650;350;450
Ål;;;;;;;;;;
 ;Willow Ptarmigan;1200;550;450;400;250;300;550;350;600
Hol;;;;;;;;;;
 ;Willow Ptarmigan;2350;1650;1600;1100;550;950;1600;700;1600
Sigdal;;;;;;;;;;
 ;Willow Ptarmigan;200;250;200;200;150;200;250;150;200
Krødsherad;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Modum;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;0;0;0;0;0;0
Øvre Eiker;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;0;0;0;0;0
Nedre Eiker;;;;;;;;;;
