"ID"	"Total"	"TotalTerrestrial"	"nuTypes"	"Forest"	"Open"	"HabitatClass"
"275"	572	4300	4300	18	1186	3114	17
"276"	573	1033	1033	9	0	1033	17
"277"	574	1569	1568	18	392	1176	17
"278"	575	615	613	13	8	605	17
"279"	576	583	583	16	263	320	4
"280"	577	309	309	13	167	142	4
"281"	578	1466	1449	20	173	1276	16
"282"	579	1355	1355	17	683	672	4
"283"	580	1030	1030	10	0	1030	14
"284"	581	1163	1163	16	251	912	17
"285"	582	4184	4184	18	1460	2724	17
"286"	583	1473	1473	18	355	1118	17
"287"	584	736	721	10	20	701	14
"288"	585	1874	1848	18	343	1505	14
"289"	586	1250	1243	18	91	1152	17
"290"	587	922	922	13	36	886	17
"291"	588	987	987	17	193	794	17
"292"	589	546	536	12	16	520	17
"293"	590	1451	1451	17	121	1330	17
"294"	591	1289	1257	18	954	303	4
"295"	592	1350	1350	17	332	1018	17
"296"	593	1692	1692	18	516	1176	17
"297"	594	1249	1249	13	32	1217	17
"298"	595	1430	1427	12	13	1414	14
"299"	596	1500	1499	10	0	1499	14
"300"	597	654	654	8	5	649	17
"301"	598	686	683	9	6	677	14
"302"	599	2065	2065	17	401	1664	17
"303"	600	681	676	10	3	673	17
"304"	601	1563	1563	18	447	1116	17
"305"	602	1652	1652	13	1488	164	7
"306"	603	3643	3643	17	400	3243	17
"307"	604	1205	1205	17	155	1050	17
"308"	605	1491	1488	14	82	1406	20
"309"	606	1668	1668	15	985	683	6
"310"	607	1557	1556	13	67	1489	19
"311"	608	1472	1472	15	40	1432	17
"312"	609	1831	1831	15	250	1581	17
"313"	610	1304	1298	17	105	1193	20
"314"	611	673	671	11	2	669	14
"315"	612	1783	1783	18	786	997	17
"316"	613	1920	1920	17	469	1451	17
"317"	614	1143	1143	15	116	1027	17
"318"	615	1312	1312	12	84	1228	17
"319"	616	754	754	16	258	496	17
"320"	617	1694	1694	17	731	963	17
"321"	618	971	971	17	35	936	17
"322"	619	2903	2902	17	90	2812	17
"323"	620	1094	1085	18	301	784	17
"324"	621	1828	1828	16	255	1573	17
"325"	622	1357	1357	10	0	1357	20
"326"	623	1150	1150	8	0	1150	20
"327"	624	1145	1145	15	837	308	7
"328"	625	942	942	13	161	781	14
"329"	626	1292	1292	17	225	1067	17
"330"	627	1045	1045	13	23	1022	17
"331"	628	1076	1068	19	423	645	17
"332"	629	1211	1211	7	0	1211	14
"333"	630	1070	1070	8	0	1070	20
"334"	631	1252	1247	16	507	740	14
"335"	632	672	671	15	390	281	17
"336"	633	766	766	6	0	766	17
"337"	634	856	856	17	604	252	7
"338"	635	953	953	11	63	890	17
"339"	636	1078	1078	13	171	907	14
"340"	637	871	871	15	209	662	17
"341"	638	1189	1169	20	498	671	7
"342"	639	1048	1048	16	42	1006	14
"343"	640	906	906	18	393	513	17
"344"	641	975	975	10	0	975	17
"345"	642	1101	1101	16	343	758	16
"346"	643	1230	1230	6	0	1230	14
"347"	644	803	803	15	534	269	6
"348"	645	944	944	15	677	267	4
"349"	646	1446	1446	10	0	1446	20
"350"	647	954	954	6	0	954	17
"351"	648	846	818	14	6	812	17
"352"	649	901	901	14	62	839	14
"353"	650	1146	1146	12	1080	66	5
"354"	651	860	860	14	261	599	20
"355"	652	1115	1115	14	817	298	5
"356"	653	1079	1079	11	0	1079	17
"357"	654	614	614	9	0	614	17
"358"	655	959	959	15	166	793	20
"359"	656	847	846	9	0	846	14
"360"	657	1004	985	19	328	657	17
"361"	658	1119	1119	8	0	1119	14
"362"	659	1111	1111	15	843	268	4
"363"	660	1525	1525	17	97	1428	14
"364"	661	1645	1645	17	278	1367	20
"365"	662	1328	1328	16	577	751	20
"366"	663	1055	1055	17	672	383	7
"367"	664	1924	1920	17	1271	649	7
"368"	665	1752	1726	18	1222	504	7
"369"	666	1136	1136	13	1011	125	6
"370"	667	1252	1252	15	218	1034	18
"371"	668	604	604	12	65	539	17
"372"	669	820	820	14	567	253	6
"373"	670	1283	1219	15	1115	104	7
"374"	671	906	906	16	732	174	6
"375"	672	937	937	11	819	118	7
"376"	673	874	874	15	782	92	6
"377"	674	799	799	13	710	89	6
"378"	675	743	743	11	713	30	6
"379"	676	1117	1117	16	501	616	17
"380"	677	1119	1119	14	446	673	17
"381"	678	1054	1054	15	395	659	17
"382"	679	645	645	9	0	645	16
"383"	680	561	561	7	0	561	17
"384"	681	1059	1028	18	529	499	14
"385"	682	1146	1146	9	0	1146	17
"386"	683	1888	1888	15	1650	238	6
"387"	684	1080	1080	17	336	744	4
"388"	685	1147	1147	16	668	479	7
"389"	686	893	893	15	715	178	4
"390"	687	1247	1247	15	959	288	7
"391"	688	940	940	18	685	255	7
"392"	689	1024	1015	18	580	435	17
"393"	690	2699	2669	19	1719	950	7
"394"	691	665	665	15	433	232	7
"395"	692	1262	1262	15	270	992	19
"396"	693	1255	1255	16	795	460	7
"397"	694	1328	1314	15	271	1043	20
"398"	695	820	820	8	0	820	16
"399"	696	1593	1593	16	245	1348	17
"400"	697	1005	1005	12	930	75	7
"401"	698	1094	1078	15	378	700	14
"402"	699	1284	1284	16	1144	140	4
"403"	700	1537	1537	17	650	887	17
"404"	701	1473	1465	19	292	1173	14
"405"	702	1475	1463	19	63	1400	14
"406"	703	1201	1201	16	572	629	17
"407"	704	1176	921	14	17	904	17
"408"	705	870	801	14	6	795	17
"409"	706	491	491	9	0	491	17
"410"	707	896	896	9	0	896	17
"411"	708	1009	1009	12	2	1007	17
"412"	709	1893	1877	20	88	1789	17
"413"	710	431	429	13	14	415	17
"414"	711	1034	1032	19	81	951	17
"415"	712	603	603	10	0	603	16
"416"	713	692	692	13	5	687	17
"417"	714	699	699	11	1	698	17
"418"	715	831	831	14	305	526	17
"419"	716	768	671	15	7	664	14
"420"	717	890	890	16	471	419	5
"421"	718	878	878	13	591	287	5
"422"	719	913	888	15	141	747	17
"423"	720	760	745	18	35	710	17
"424"	721	1442	1442	17	266	1176	17
"425"	722	1338	1338	18	706	632	5
"426"	723	311	310	10	4	306	14
"427"	724	1715	1715	17	535	1180	17
"428"	725	1204	1204	16	32	1172	17
"429"	726	1509	1509	15	90	1419	17
"430"	727	1309	1309	10	0	1309	17
"431"	728	798	798	9	0	798	18
"432"	729	765	763	10	1	762	17
"433"	730	742	732	18	43	689	17
"434"	731	1079	1079	12	505	574	17
"435"	732	1206	1203	19	421	782	17
"436"	733	1146	1140	19	715	425	17
"437"	734	1150	1150	15	924	226	4
"438"	735	1262	1262	16	949	313	5
"439"	736	687	662	17	27	635	17
"440"	737	642	607	16	15	592	17
"441"	738	651	596	17	28	568	17
"442"	739	816	816	13	2	814	17
"443"	740	1048	1048	8	0	1048	17
"444"	741	1427	1427	9	0	1427	17
"445"	742	762	742	18	177	565	17
"446"	743	1459	1457	19	903	554	17
"447"	744	1012	1012	13	8	1004	17
"448"	745	1090	1090	17	404	686	17
"449"	746	903	903	11	0	903	17
"450"	747	966	966	14	461	505	17
"451"	748	555	555	13	309	246	9
"452"	749	1316	1316	16	262	1054	17
"453"	750	692	692	14	489	203	6
"454"	751	822	822	12	419	403	9
"455"	752	905	905	13	516	389	17
"456"	753	656	656	13	290	366	17
"457"	754	332	332	10	218	114	17
"458"	755	594	528	13	450	78	5
"459"	756	874	874	11	660	214	5
"460"	757	821	809	12	592	217	1
"461"	758	643	639	15	308	331	17
"462"	759	850	806	16	297	509	17
"463"	760	927	915	12	705	210	5
"464"	761	1043	1042	10	837	205	5
"465"	762	706	682	11	601	81	5
"466"	763	488	488	9	323	165	5
"467"	764	1059	1059	13	735	324	1
"468"	765	2028	2028	16	602	1426	17
"469"	766	991	878	15	575	303	6
"470"	767	1108	1108	13	328	780	17
"471"	768	1557	1557	12	449	1108	17
"472"	769	1773	1772	15	304	1468	17
"473"	770	2002	1991	20	1202	789	6
"474"	771	1797	1771	20	771	1000	17
"475"	772	1468	1464	15	368	1096	17
"476"	773	1428	1396	16	679	717	5
"477"	774	1130	1119	19	428	691	5
"478"	775	1381	1381	14	419	962	14
"479"	776	1295	1295	13	497	798	17
"480"	777	963	875	14	507	368	6
"481"	778	1411	1404	16	629	775	9
"482"	779	1562	1562	15	466	1096	9
"483"	780	1029	1029	12	364	665	14
"484"	781	1163	1163	13	433	730	17
"485"	782	1205	1205	17	415	790	17
"486"	783	1468	1445	19	340	1105	17
"487"	784	1917	1915	16	705	1210	17
"488"	785	1473	1473	13	876	597	4
"489"	786	2809	2781	20	934	1847	4
"490"	787	1339	1335	15	506	829	9
"491"	788	1206	1206	15	432	774	17
"492"	789	1382	1382	16	254	1128	9
"493"	790	2273	2273	17	1181	1092	4
"494"	791	2810	2810	18	525	2285	17
"495"	792	2805	2794	18	354	2440	14
"496"	793	1859	1796	18	1320	476	8
"497"	794	2343	2254	17	1237	1017	8
"498"	795	2368	2351	19	174	2177	17
"499"	796	2396	2226	17	1321	905	8
